Same Season,,,,,,,,,,,,,,
ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS
svr_gam0.00391_eps0.125_c0.25   ,"8,750159","6,777722","51,6957","0,1700855",24,summer ,,svr_gam0.000244_eps0.0312_c64   ,"26,65537","18,58304","57,88676","0,1649495",24,autumn 
svr_gam0.000244_eps2_c16        ,"8,830162","6,797995","49,7076","0,1548403",24,summer ,,svr_gam0.000244_eps0.5_c64      ,"26,65537","18,58304","57,88676","0,1649495",24,autumn 
svr_gam0.000244_eps0.0312_c16   ,"8,830162","6,797995","49,7076","0,1548403",24,summer ,,svr_gam0.00391_eps0.0312_c0.25  ,"26,78624","18,68792","56,83901","0,1567296",24,autumn 
svr_gam0.000244_eps0.125_c16    ,"8,830162","6,797995","49,7076","0,1548403",24,summer ,,svr_gam0.00391_eps0.5_c0.25     ,"26,78624","18,68792","56,83901","0,1567296",24,autumn 
svr_gam0.000977_eps0.125_c4     ,"9,035339","6,999949","51,96875","0,1151078",24,summer ,,svr_gam0.00391_eps0.125_c0.25   ,"26,78624","18,68792","56,83901","0,1567296",24,autumn 
svr_gam0.000977_eps0.0312_c4    ,"9,035339","6,999949","51,96875","0,1151078",24,summer ,,svr_gam0.000977_eps2_c1         ,"26,8064","18,7611","58,12636","0,1554602",24,autumn 
svr_gam0.00391_eps2_c1          ,"9,151154","7,077089","52,51972","0,0922772",24,summer ,,svr_gam0.000977_eps0.5_c1       ,"26,8064","18,7611","58,12636","0,1554602",24,autumn 
svr_gam0.00391_eps0.0312_c1     ,"9,151154","7,077089","52,51972","0,0922772",24,summer ,,svr_gam0.000977_eps0.0312_c0.25 ,"26,81071","18,81045","60,03412","0,1551883",24,autumn 
svr_gam0.0156_eps0.125_c0.25    ,"9,196794","7,230333","57,71779","0,0832005",24,summer ,,svr_gam0.000977_eps0.125_c0.25  ,"26,81071","18,81045","60,03412","0,1551883",24,autumn 
svr_gam0.0156_eps2_c0.25        ,"9,196794","7,230333","57,71779","0,0832005",24,summer ,,svr_gam0.000244_eps0.5_c1       ,"26,82416","18,84022","60,5433","0,1543404",24,autumn 
svr_gam0.000244_eps0.5_c64      ,"9,23512","7,175789","53,23233","0,0755434",24,summer ,,svr_gam0.0156_eps0.0312_c0.25   ,"26,86895","18,91442","60,85104","0,1515142",24,autumn 
svr_gam0.000244_eps0.0312_c64   ,"9,23512","7,175789","53,23233","0,0755434",24,summer ,,svr_gam0.000244_eps0.125_c0.25  ,"27,00167","19,09057","65,44808","0,143111",24,autumn 
svr_gam0.0156_eps0.0312_c1      ,"9,538739","7,427389","57,38367","0,0137582",24,summer ,,svr_gam0.00391_eps0.125_c1      ,"27,06894","18,87424","56,88159","0,1388364",24,autumn 
svr_gam0.0625_eps0.0312_c0.25   ,"9,88922","8,089768","69,20659","-0,0600482",24,summer ,,svr_gam0.00391_eps2_c1          ,"27,06894","18,87424","56,88159","0,1388364",24,autumn 
svr_gam0.0625_eps0.125_c1       ,"10,096814","8,261463","70,85688","-0,1050202",24,summer ,,svr_gam0.00391_eps0.125_c4      ,"27,26325","19,29228","60,67619","0,1264288",24,autumn 
svr_gam0.0625_eps0.5_c1         ,"10,096814","8,261463","70,85688","-0,1050202",24,summer ,,svr_gam0.000977_eps0.5_c16      ,"27,61005","19,35658","59,47022","0,1040626",24,autumn 
svr_gam0.0625_eps0.0312_c1      ,"10,096814","8,261463","70,85688","-0,1050202",24,summer ,,svr_gam0.0625_eps0.5_c0.25      ,"27,65779","20,64833","87,95482","0,1009615",24,autumn 
svr_gam0.0156_eps0.5_c4         ,"10,369632","8,082324","60,34498","-0,1655427",24,summer ,,svr_gam0.0625_eps2_c0.25        ,"27,65779","20,64833","87,95482","0,1009615",24,autumn 
svr_gam0.0156_eps0.125_c4       ,"10,369632","8,082324","60,34498","-0,1655427",24,summer ,,svr_gam0.000244_eps0.5_c256     ,"27,68397","19,44801","60,24032","0,0992593",24,autumn 
svr_gam0.00391_eps0.125_c4      ,"10,435771","8,079669","59,50858","-0,180458",24,summer ,,svr_gam0.000244_eps0.125_c256   ,"27,68397","19,44801","60,24032","0,0992593",24,autumn 
svr_gam0.00391_eps0.0312_c4     ,"10,435771","8,079669","59,50858","-0,180458",24,summer ,,svr_gam0.0156_eps0.0312_c1      ,"27,86819","20,22608","67,8463","0,0872311",24,autumn 
